symbol,tvlUsd,apy,pools,largest_pool_id,largest_pool_tvl,largest_pool_pct_of_tvl
CAKE,41160309,0.0002237227914396853,9,88472ba3-f1e9-4da6-89da-eb12cf07e151,33388996,81.11940073141822
USDC-FXUSD,40110645,0.043710485193646224,3,bcc046f9-d980-40d9-80b2-5d5ae5931131,15370268,38.31967299453798
XRP,39849289,0.0021125425130521145,6,0204c8ff-0805-4515-a27e-742d23a15719,24893745,62.46973440354231
WBTC-TBTC,39417787,0.015935723577122682,14,9beef608-8e7b-455b-97a1-84247be6631d,8737781,22.16710187205588
ROME-ETH,39182390,0.0,1,88a0d538-3061-4fe6-85a8-e4b2c1ea2eac,39182390,100.0
SIFU,38950511,1.11e-05,1,0cc952a9-714e-4724-9fed-56ac675e34c5,38950511,100.0
SCRVUSD,38828497,0.037576800182762674,6,5fd328af-4203-471b-bd16-1705c726d926,38090126,98.0983786212482
GTWETH,38818818,0.024133900000000003,1,85be31a9-9082-46b7-8b55-945aac96d014,38818818,100.0
OUSG,38607087,0.0,1,a5453ca0-7ec4-44b8-81c8-9154ce8465f7,38607087,100.0
,38280509,0.028473116021388325,17,726f2d8b-25cb-4f65-8727-c9b34aa1ef67,26110212,68.2075883578246
MEW-WSOL,38079632,0.21104415563430864,4,919f83c6-1a2d-4c67-985f-99e8b8423f62,34561246,90.76045167663385
GTUSDCF,37907456,0.07381454781058376,2,51b5c6c2-d2f2-45f6-95b0-314efbfae6d7,37896180,99.97025387301116
IUSD,37444758,0.334371708264751,2,a8bdee89-d592-4ac5-812d-d016f08ee389,37164135,99.25056799672734
DOLA-SUSDE,36496533,0.0968325207764639,4,8a3a7995-73b3-4e25-8b5c-82a8841bf720,18259038,50.02951376230723
